15 top luxury brands' Twitter accounts and their sumary Twitter activities.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Luxury brands,Twitter Account,Account creation date,Number_of_followers,"Number of following accounts	","Number of firm tweets	",Mention,engagement_score,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Chanel, @CHANEL,6/29/2011,"13,364,534",0,"1,415","404,384",3.025799478,,,,,,,,,
,Marc Jacobs, @marcjacobs,1/29/2010,"9,156,597",1549,"18,121","109,781",1.198927942,,,,,,,,,
,Burberry, @Burberry,6/15/2009,"8,426,097",238,"11,266","387,240",4.595722076,,,,,,,,,
,Dior, @Dior,08/04/2011,"8,065,825",141,"2,081","244,741",3.034295934,,,,,,,,,
,Louis Vuitton, @LouisVuitton,06/02/2009,"7,040,535",14,"2,864","461,855",6.559941823,,,,,,,,,
,Dolce & Gabbana, @dolcegabbana,10/28/2009,"5,126,419",414,"11,717","249,584",4.868583703,,,,,,,,,
,Gucci, @Gucci,10/22/2008,"5,148,860",349,"5,346","267,822",5.201578602,,,,,,,,,
,Saint Laurent, @YSL,7/25/2009,"4,024,197",140,787,"124,640",3.097263876,,,,,,,,,
,Versace, @Versace,09/08/2009,"4,185,557",464,"4,389","226,645",5.414930438,,,,,,,,,
,Michael Kors, @MichaelKors,06/08/2010,"3,621,773",591,"10,449","415,992",11.48586618,,,,,,,,,
,Armani, @giorgioarmani,9/28/2009,"3,379,247",389,"5,488","166,321",4.921836137,,,,,,,,,
,Christian Louboutin, @LouboutinWorld,8/28/2009,"2,945,545",693,"9,662","329,067",11.1716847,,,,,,,,,
,Ralph Lauren, @RalphLauren,4/22/2009,"2,224,550",356,"3,341","186,762",8.395495718,,,,,,,,,
,Valentino, @MaisonValentino,09/11/2009,"1,973,291",1059,"4,543","112,052",5.678432629,,,,,,,,,
,Alexander McQueen, @McQueen,11/30/2010,"1,836,250",293,"2,554","6,616",0.360299523,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
